tarih                     text 
02.01.2023         "Rusya: Ukrayna ordusunun füze saldırıları sonucu 63 Rus askeri hayatını kaybetti.Rusya Savunma Bakanlığı, Ukrayna ordusunun füze saldırıları sonucu Makeyevka yakınlarında 63 Rus askerinin hayatını kaybettiğini duyurdu.Rusya Savunma Bakanlığı Sözcüsü İgor Konaşenkov, Rus ordusunun Ukraynadaki savaşta eylemlerine ilişkin açıklamalarda bulundu.Ukrayna ordusunun Donetsk bölgesinde Makeyevka yerleşim birimi yakınlarında Rus Silahlı Kuvvetlerinin geçici konuşlandığı noktalardan birine saldırdığını belirten Konaşenkov, ABD yapımı HIMARS çoklu roketatar sisteminden atılan 6 füzeden 2sinin Rus hava savunma sistemlerince vurulduğunu ifade etti.Konaşenkov, Tahrip gücü yüksek 4 roket başlığının patlaması sonucu geçici konuşlanma noktasının bir bölümünde 63 Rus askeri öldü. ifadesini kullandı.Rus askeri birliklerinin Ukraynada operasyonlara devam ettiğini bildiren Konaşenkov, Rus hava kuvvetlerinin yüksek hassasiyetli silahlarla yaptığı saldırılar sonucunda Donetsk bölgesindeki Markovo ve Kramatorskta, Harkiv bölgesinde de Novoosinovo yerleşim biriminde 70ten fazla Ukrayna ordusuna çalışan yabancı paralı savaşçının öldüğünü, 100den fazlasının ise yaralandığını aktardı.Ukrayna Silahlı Kuvvetleri Stratejik İletişim Ofisinden yapılan açıklamada, Ukraynanın Donetsk bölgesinde Rus ordusunun kontrol ettiği Makeyevka şehrinde kışla olarak kullanılan bir merkeze yapılan saldırı sonucu yaklaşık 400 Rus askerin öldüğü iddia edilmişti."

02.01.2023       "Konya Barınağındaki katillere tahliyeKonya Büyükşehir Belediyesine ait Hayvan Rehabilitasyon Merkezinde, köpeğin kürekle öldürülmesi olayıyla ilgili davada; mahkeme heyeti, köpeğe vurarak öldüren ve haklarında 6şar yıla kadar hapis cezası istenen sağlık teknisyeni Murat Baca ile hayvanı sürükleyerek götüren Sefa Çakmakın tahliyesine karar verdi. Duruşma 20 Ocak tarihine ertelendi."

02.01.2023        "Elazığda okulun bahçesinde arkadaşı tarafından bıçaklanan lise öğrencisi hayatını kaybetti.Elazığın Palu ilçesinde okulun bahçesinde arkadaşı tarafından bıçaklanan lise öğrencisi yaşamını yitirdiPalu Cimşidbey Mesleki ve Teknik Anadolu Lisesinde okuyan E.D. (17) ve Ş.K. (17) okulun arka bahçesinde henüz bilinmeyen nedenle tartıştı.Tartışmanın büyümesi üzerine çıkan kavgada Ş.K. arkadaşı E.Dyi bıçakla yaraladı.İhbar üzerine okula polis ve 112 Acil Sağlık ekipleri sevk edildi.Ambulansla Palu Devlet Hastanesine kaldırılan E.D. müdahaleye rağmen kurtarılamadı.Şüpheli Ş.K. polis ekiplerince gözaltına alındı."

03.01.2023         "Dünyada 350 milyon kişi hastalığa yakalandı: Korkunç hızla yayılıyor Son yıllarda özellikle cep telefonu kullanımı ve internetin yaygınlaşması sonucu sanal ortamlarda bahis sitelerinin sayısının arttığını, dolayısıyla bu ortamları sık kullanan genç nesilde de kumar oynama alışkanlığının paralel olarak yükseldiğini söyleyen Psikiyatri Uzmanı Dr. Cengiz Soylu, Sanal kumar bağımlılığındaki artış, hem dünyada hem de ülkemizde ciddi sosyo-ekonomik ve ruhsal sıkıntılara yol açtı. Özellikle gençler arasında önemli bir halk sağlığı sorunu haline dönüştü dedi."

03.01.2023          "Antalyada darp edildiği öne sürülen kadın hastanede öldü Antalyanın Elmalı ilçesinde çıkan kavgada bir yakını tarafından darp edildiği iddia edilen kadın, tedavi gördüğü hastanede hayatını kaybetti.AAda yer alan habere göre, ilçede yaşayan Kamuran Uluca (52) ile kuzeninin eşi Ö.G. (27) iddiaya göre 10 gün önce çocuk gürültüsü nedeniyle kavga etti.Olaydan sonra Uluca ve Ö.G. karakola giderek birbirlerinden şikayetçi oldu. Darp raporu almak için polis eşliğinde hastaneye giden Uluca, aniden fenalaştı. Buradaki ilk tedavinin ardından Akdeniz Üniversitesi Hastanesine sevk edilen Uluca, yaşamını yitirdi.Antalya Adli Tıp Kurumuna gönderilen kadının cenazesi, otopsi işlemlerinin ardından yakınlarına teslim edildi."

27.12.2022           "Virüslerle beslenen ilk canlı saptandı Birçok tatlı suda rastlanabilen planktonik bir canlının virüslerle beslendiği keşfedildi.Bilimsel adı Halteria olan canlının virüsleri yemek üzere evrimleştiği, onlarla beslenerek geliştiği ortaya çıktı. Pek çok organizma diğer canlıları tüketirken kazara virüsleri de yese de, şimdiye kadar hiçbirinin virüslerle kasten beslendiği görülmemişti.ABDdeki Nebraska-Lincoln Üniversitesindeki bir araştırma ekibi, deneyler sonucunda Halteriayı bilinen ilk virovor yani virüs yiyen organizma olarak tanımladı.Bu bölüm, konuyla ilgili referans noktalarını içerir. (Related Nodes field)Biyolog John DeLong, üniversitenin yakınlarındaki bir göletten tatlı su örnekleri alarak virüs tüketen olası canlıları araştırıyordu. Numunelerdeki çeşitli mikroskobik canlıları izole eden ekip, bunun ardından suya klorovirüsleri ekledi. Sonunda Halterianın algleri hedef alan bu tatlı su virüslerini yediği görüldü.Bilim dünyası, Halterianın varlığından 1970lerden beri haberdar. Ancak kirpik benzeri yapılara sahip bu tek hücreli organizmanın sadece bakteri tükettiği düşünülüyordu.DeLongun ekibi Halterianın virüs tüketiminden metabolik anlamda yarar sağlayıp sağlamadığını kesinleştirmek için su örneklerinde klorovirüs dışındaki tüm gıda kaynaklarını ortadan kaldırdı.Bu durumda da Halterianın sadece iki günde 15 kat büyüdüğü tespit edildi. Klorovirüs popülasyonu ise ilk durumunun yüzde 1ine kadar düştü.Böylece hakemli bilimsel dergi PNASta yayımlanan araştırmada, klorovirüslerin Halteria için gerçekten de besin kaynağı olduğu kanıtlandı.DeLong ve ekibi bununla da yetinmedi. Halterianın klorovirüslerle beslendiğini göstermek için floresan boya enjekte ettikleri virüslerin mikroskop altında parlamalarını sağladı.Çok geçmeden Halteriaların da parlamaya başladığı görüldü. Bu da virüsleri yediklerini net biçimde gösteriyordu.Ekip ayrıca tatlı suda yaşayan başka tek hücreli canlı olan Paramecium bursarianın da klorovirüsleri tüketiyor gibi göründüğünü saptadı. Ancak ilerleyen deneylerde Parameciumun boyut veya popülasyonunun virüsleri yutsalar bile değişmediği anlaşıldı.Sulak ortamlarda bol miktarda rastlanan virüsler aslında nitrojen, fosfor ve nükleik asitler gibi ham maddeler açısından zengin bir besin kaynağı olabilir.Bu keşifle, suda yaşayan canlılar arasındaki sıradışı besin ağları daha iyi anlaşılacak."

02.01.2023          "34 ülkede gerçekleştirilen yıl sonu Global Mutluluk Araştırması’nın sonuçları açıklandı 36 bine yakın kişiyle yapılan araştırma, insanların yüzde 54’ünün çok mutlu veya mutlu olduğunu ortaya çıkardı Dünya genelinde farklı ülkelerdeki insanların çoğunluğunda mutluluk hâlâ hakimse de son yıllara göre sürekli düşüş eğilimi görülüyor. Araştırmaya göre, her 10 kişiden birinden fazlası kendini çok mutsuz veya mutsuz olarak görürken, üçte biri kendini ne mutlu ne de mutsuz olarak görüyor.Ülkelere göre yapılan sınıflandırmalara göre ise Avrupa kasvetli tarafta ancak daha mutsuz ülkeler dünyaya dağılmış durumda. Ermenistan, Kenya, Hong Kong, Arjantin, Türkiye ve Moldova mutsuzluk oranı yüksek olan ülkelerin başında yer alıyor. Yapılan araştırmada Türkiye’de 10 kişiden biri çok mutlu, üç kişiden biri ise mutlu olduğunu söylüyor. Türkiye’de mutluluk oranı yüzde 37 ile geçen yıla göre 5 puan düştü. Türkiye’de yüzde 44’lük oranla erkekler kadınlardan daha mutlu. Kadınlar arasında mutluluk oranı ise yüzde 30. Türkiye’de dünya genelinden farklı olarak yaş arttıkça mutluluk da artıyor. En az mutlu grup yüzde 29 ile 18-34 yaş arasındaki gençler iken 55 yaş ve üzerindeki kişilerin yüzde 45’i mutlu. Türkiye’de sosyoekonomik statü grubu yükseldikçe mutluluk artıyor. Çalışma grupları açısından bakıldığında esnaf yüzde 54, emekliler yüzde 40 ile mutlu kesimi oluştururken; ücretli çalışanlar yüzde 37, ev kadınları yüzde 35, öğrenciler yüzde 20 ve işsizler yüzde 18 ortalama ve altı mutluluk oranlarına sahip."

29.12.2022           "Çocukken çok şeker tüketenler düşük maaş alıyor Çocukluk döneminde tüketilen şeker miktarı kazanılan maaşı etkiliyor.Kaliforniya Üniversitesi’nden iki ekonomist çok fazla miktarda şeker tüketen çocuklar daha az maaş mı kazanıyor? sorusuna yanıt buldu.Yapılan araştırmada 1953 yılına kadar İngiltere’de uygulanan karneyle şeker dağıtma politikası kullanıldı. 1953 yılını kırılma noktası olarak alan araştırmacılar şeker tüketiminin uzun vadeli sonuçlarını buldu.Araştırmada, birkaç yıl arayla doğan insanların verileri kullanıldı. Böylece, 1953 yılından önce ve sonra tüketilen şeker miktarındaki önemli farkın uzun vadeli sonuçlarına varıldı.Karne uygulamasından sonraki gruptaki yetişkinlerin kronik hastalıklar, diyabet, kireçlenme gibi hastalıklara yakalandığı ortaya çıktı.Sağlık sorunlarına ilave olarak, çocuklukta tüketilen yüksek miktarda şekerin çocukların eğitim hayatında başarısız olmasına neden olduğu belirlendi. Karne uygulamasından sonraki çocukların, öncekilere göre yüzde 18,5 daha az üniversiteye gittiği belirlendi. Dahası, bu fark nitelikli iş bulma konusunda yüzde 16,6.Bu sonuçlar, daha fazla şeker tüketen çocukların yetişkinlik dönemlerinde daha az maaş alabileceklerini ve daha az servete sahip olabileceklerini göstermekte. Araştırmacılar, politikacıların bu konuda harekete geçip gıda endüstrisinde daha sıkı önlemler alınması gerektiğini vurguluyor."

25.09.2022            "Kümesinizdeki bir tavuk aniden horoza dönüşebilir mi? Belçikalı kümes sahibi Jonas Verdickt, geçen hafta bir sabah şaşkınlık içinde uyandı. Çünkü hiç horoz bulunmayan kümesindeki tavuklardan biri, aniden horoz gibi ötmeye başlamıştı. Dişi hayvan ayrıca daha sağlam bir ibik yapısı ve erkeksi duruş da geliştirmişti. Anvers yakınlarındaki Scilde kasabası sakinleri, bir haftadır her sabah Verdickt’in horoza dönüşen tavuğunun sesiyle uyanıyor. Kümesinde hiç horoz bulunmadığını, sadece tavuk beslediğini vurgulayan Jonas Verdickt, Covid nedeniyle ev karantinasında bulunduğu sırada gün boyu hayvanlarıyla meşgul olmuş.Verdickt, Belle adını verdiği tavuğun dişilikten erkekliğe dönüşümünü yakından izlemiş. Belçika Radyosu’na konuşan Verdickt, Böyle bir şey gerçekten mümkün olabilir mi? Dişi bir tavuk gerçekten erkek bir horoza dönüşebilir mi? diye soruyor. Sahibi şaşırsa da bilim insanları için bu normal bir durum. Belçika Kraliyet Doğa Bilimleri Enstitüsü ve Anvers Üniversitesi biyologlarından Prof. Dr. Thierry Backeljau, Nadir de olsa bu mümkündür. Tavuk civcivinin horoza dönüşmesi olgusu bilimsel olarak tanımlanmıştır diyor.K﻿romozomlarla ilgili bir durum Belçikalı profesöre göre, tavuğun  horoza dönüşmesi kromozomlarla ilgili bir durum.Tıpkı insanlarda olduğu gibi, tavuklarda da cinsiyeti kromozomların belirlediğine işaret eden Backeljau, bunu şöyle açıklıyor: İnsanlarda dişiler için XX, erkekler için XYdir. Kuşlarda ise tam tersidir. Orada erkeklerin iki özdeş Z kromozomu vardır ve dişilerde de iki tane bulunur. Farklı olanlar, ZW olarak adlandırılır. Bu kromozom farkı nedeniyle, insanlardali iki yumurtalığın aksine dişi kuşlarda yalnızca bir tane gelişmiş yumurtalık bulunur.Bir tavuğun sol yumurtalığı kanser veya kist gibi bir hastalıktan etkilenirse, gelişmemiş sağ yumurtalığı devreye girer. Bu noktada yumurtalık ve testis karışımı oluşur. İç testis gibi erkek hormonları salgılar.Sonuç olarak, tavuklar aniden ötmeye başlayabilir ve erkek cinsel özellikleri gösterebilir. Backeljau’ya göre, bu durumda erkeğe dönüşen dişiler, sperm hücrelerine bile sahip oluyor ve teorik olarak diğer tavukları dölleyebiliyorlar.Prof. Dr. Thierry Backeljau, tavuklarda nadir olsa da, balıklarda doğal cinsiyet değişikliğinin sık görülen bir durum olduğunu söylüyor. Belçikalı uzman, mercan resiflerindeki bazı balıkların hayata dişi olarak başladıklarını belirterek, Bunlar gruplar halinde yaşarlar ve daha büyük, daha güçlü bir erkeğin haremine aittirler. Erkek o haremi korur. Ama erkek balık ölürse veya başkaları tarafından avlanırsa, dişiler bir hafta içinde çok daha büyük bir erkeğe dönüşebilir ve haremi ele geçirebilir diyor."

15.11.2022     "Haribo, 4,6 milyon euroluk çekini bulan adama 6 paket şeker verdi.Haribo, şeker imalatçısına yazılmış 4,6 milyon euroluk bir çek bulan adama ödül olarak 6 paket şeker verdi. Almanyanın Frankfurt kentinden 38 yaşındaki Anouar G, annesini ziyaret ettikten sonra trenini beklerken çeki bir peronda gördü. Anouar yolculuğu sırasında çekin yerde uçuştuğunu gördüğünü söyledi.Kayıp çekle ilgili kendileriyle iletişime geçildiğini doğrulayan Haribo, firmanın jesti hakkında İsimli bir çek olduğundan, şirketimizden başka hiç kimse bunu paraya çeviremezdi. Teşekkür için gönderdiğimiz standart paketimizdi açıklamasını yaptı."

27.01.2022    "Kardan araba yaptı, ilan verdi! Gören aradı Bayrampaşada 13 yıldır galericilik yapan Emre Esenlikçi, arkadaşlarıyla kar yağışı sonrası iş yerlerinin önünde bulunan alanda kardan otomobil yapmaya karar verdi. Kar yığınlarını toplayan Esenlikçi ve arkadaşları otomobilin farları ve tekerleri için siyah araba boyası kullandı.Tekerlek kısmına ise jant kapağı takılan kardan otomobil bir gün süren çalışmanın ardından bitti. Kardan otomobili 65 bin liradan satışa çıkaran Esenlikçiye Türkiyenin dört bir yanından telefonlar yağdı. Telefonlar susmayınca Esenlikçi, çareyi ilanı kaldırmakta buldu."

